Ticket ID;Open Time @Timezone;Resolved Time @Timezone
IM70788891;01/08/2019 16:08;
IM70788891;01/08/2019 16:08;
IM70788891;01/08/2019 16:08;
IM70788891;01/08/2019 16:08;
IM70788891;01/08/2019 16:08;
IM70788894;01/08/2019 16:16;
IM70788894;01/08/2019 16:16;
IM70788894;01/08/2019 16:16;
IM70788894;01/08/2019 16:16;
IM70788894;01/08/2019 16:16;
IM70803008;02/08/2019 11:38;
IM70803008;02/08/2019 11:38;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70841277;05/08/2019 18:02;
IM70855136;06/08/2019 08:54;
IM70855136;06/08/2019 08:54;
IM70855136;06/08/2019 08:54;
IM70855136;06/08/2019 08:54;
IM70855136;06/08/2019 08:54;
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70856228;06/08/2019 09:31;01/10/2019 16:50
IM70861734;06/08/2019 15:19;
IM70861734;06/08/2019 15:19;
IM70861734;06/08/2019 15:19;
IM70862815;06/08/2019 16:18;
IM70862815;06/08/2019 16:18;
IM70862815;06/08/2019 16:18;
IM70862815;06/08/2019 16:18;
IM70919320;09/08/2019 11:42;
IM70919320;09/08/2019 11:42;
IM70919320;09/08/2019 11:42;
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920673;09/08/2019 14:34;04/10/2019 23:34
IM70920675;09/08/2019 14:38;
IM70920675;09/08/2019 14:38;
IM70920675;09/08/2019 14:38;
IM70920675;09/08/2019 14:38;
IM70920683;09/08/2019 15:01;
IM70920683;09/08/2019 15:01;
IM70920683;09/08/2019 15:01;
IM70920683;09/08/2019 15:01;
IM70920683;09/08/2019 15:01;
IM70920683;09/08/2019 15:01;
IM70993920;14/08/2019 11:53;18/09/2019 08:59
IM70993920;14/08/2019 11:53;18/09/2019 08:59
IM70993920;14/08/2019 11:53;18/09/2019 08:59
IM70993920;14/08/2019 11:53;18/09/2019 08:59
IM70993920;14/08/2019 11:53;18/09/2019 08:59
IM70997451;14/08/2019 18:54;
IM70997451;14/08/2019 18:54;
IM70997490;14/08/2019 18:07;
IM70997490;14/08/2019 18:07;
IM70998854;15/08/2019 00:14;
